Business Name,Industry,Business Size,Website,Social Media,SEO Score,Budget,Goal,Recommended Service
"Crist, Kohler and Casper",IT Services,Small,True,Medium,77,17507,Automate Operations,Website Development
"McDermott, King and Kunde",Real Estate,Small,True,High,61,479768,Improve Online Presence,SEO
King-Kohler,E-commerce,Medium,True,Medium,71,281992,Launch Mobile App,App Development
Hauck-Ferry,Retail,Small,False,Medium,63,696013,Improve Online Presence,Website Development
Veum-Hills,Manufacturing,Small,True,Low,98,736705,Expand Business,Branding
Wiegand Group,Education,Large,False,High,9,760660,Increase Website Traffic,Website Development
"Batz, Sauer and Leannon",Real Estate,Large,True,High,26,733995,Expand Business,SEO
Hand-Olson,Education,Medium,False,Low,71,638025,Improve Customer Experience,Website Development
"Keeling, Lowe and Gutkowski",Education,Small,False,Low,7,300740,Expand Business,Website Development
Strosin and Sons,Restaurant,Large,True,Low,92,352143,Improve Online Presence,Social Media Marketing
"Bartoletti, Reilly and Kozey",Restaurant,Medium,True,Medium,87,918956,Boost Sales,Social Media Marketing
"Donnelly, Hettinger and Spinka",E-commerce,Medium,True,High,2,167568,Automate Operations,AI Automation
"Jacobs, Christiansen and Wolff",Real Estate,Medium,False,Low,64,951403,Improve Customer Experience,Website Development
"Mitchell, Lindgren and Schulist",Restaurant,Medium,False,High,78,864581,Increase Customers,Website Development
"Howell, Gottlieb and Parisian",Finance,Medium,False,Low,99,478474,Automate Operations,AI Automation
Morissette-Schultz,Education,Large,True,High,45,266211,Increase Website Traffic,SEO
Wunsch-Block,Healthcare,Small,False,Low,34,581366,Brand Awareness,Website Development
"Turcotte, Macejkovic and Hoeger",Education,Medium,True,High,61,529065,Expand Business,Branding
"Heathcote, Ortiz and Koelpin",E-commerce,Large,False,Medium,15,198854,Improve Online Presence,Branding
Rowe-Roob,Travel,Small,True,Low,19,859618,Improve Customer Experience,SEO
Effertz-Braun,Healthcare,Small,True,Medium,8,968862,Expand Business,SEO
Prohaska Inc,Finance,Small,False,Low,24,961124,Launch Mobile App,App Development
"Christiansen, Deckow and Mueller",Healthcare,Small,True,Medium,26,262818,Generate Leads,SEO
Kozey-Romaguera,Manufacturing,Small,False,High,58,553666,Increase Website Traffic,Website Development
Quigley-Kuhic,Real Estate,Large,False,High,26,542899,Generate Leads,Website Development
Schultz-Casper,Retail,Large,False,Medium,19,540595,Boost Sales,Website Development
"Green, Hermiston and Cronin",Real Estate,Small,True,High,28,3389,Increase Website Traffic,SEO
Homenick-Turcotte,Education,Large,True,Low,37,942881,Boost Sales,SEO
"Konopelski, Abshire and Botsford",Finance,Medium,False,Low,36,944194,Increase Website Traffic,Website Development
Christiansen Inc,Finance,Medium,False,High,13,332705,Launch Mobile App,App Development
Waters Inc,Education,Small,True,Low,71,31313,Improve Customer Experience,Branding
"Kshlerin, Greenholt and Hermann",Finance,Small,True,Low,32,771903,Increase Customers,SEO
Grant LLC,Finance,Medium,True,Medium,48,727963,Boost Sales,Social Media Marketing
Flatley Group,IT Services,Medium,False,Medium,62,771887,Boost Sales,Website Development
"Johnson, Altenwerth and Vandervort",Finance,Small,True,High,32,929064,Launch Mobile App,App Development
Dooley-Bergnaum,Healthcare,Small,True,Medium,62,7402,Improve Customer Experience,Branding
Vandervort-Batz,Travel,Large,False,Low,26,452597,Brand Awareness,Website Development
Labadie-Larson,Real Estate,Small,True,High,19,35085,Increase Website Traffic,SEO
Moen-Heaney,Restaurant,Large,False,Low,57,573848,Increase Website Traffic,Website Development
Graham-Hand,IT Services,Large,True,High,89,783522,Brand Awareness,Branding
"Mayert, Boyle and Rice",IT Services,Small,True,High,29,222114,Boost Sales,SEO
Robel Group,Real Estate,Large,False,Medium,14,246360,Expand Business,Website Development
Weissnat-Feeney,Education,Small,True,High,15,398452,Increase Website Traffic,SEO
Bechtelar-Mann,Manufacturing,Large,False,High,78,700045,Automate Operations,AI Automation
Leuschke Group,Retail,Large,False,Medium,8,649597,Boost Sales,Website Development
"Berge, Kling and Rutherford",Manufacturing,Large,False,High,88,56426,Improve Customer Experience,Branding
Nader Inc,Retail,Small,True,Medium,45,507448,Improve Online Presence,SEO
Langosh Inc,Restaurant,Small,True,Low,14,879078,Improve Customer Experience,SEO
Stehr Inc,Travel,Medium,True,Medium,63,623008,Generate Leads,Social Media Marketing
"Parker, Abernathy and Bode",Real Estate,Small,False,Low,88,424693,Improve Customer Experience,Website Development
Thiel Inc,Healthcare,Medium,True,High,32,103306,Launch Mobile App,App Development
Grimes-Collins,Travel,Large,False,Low,95,272982,Improve Online Presence,Website Development
Hirthe-Durgan,Retail,Small,True,High,82,179140,Improve Customer Experience,Branding
Pollich and Sons,Manufacturing,Large,False,High,44,822582,Boost Sales,Website Development
Bahringer Inc,E-commerce,Large,False,Low,12,799434,Increase Website Traffic,Website Development
"Nolan, Stoltenberg and Feest",E-commerce,Large,True,Medium,43,884955,Launch Mobile App,App Development
Larson Inc,E-commerce,Medium,True,Medium,73,880811,Boost Sales,Social Media Marketing
"Bartell, Ferry and Turner",Education,Small,False,High,46,561168,Expand Business,Website Development
Konopelski and Sons,Restaurant,Medium,False,Low,17,59478,Launch Mobile App,App Development
"Willms, Klein and Jacobi",Restaurant,Medium,True,Medium,98,90018,Improve Online Presence,SEO
Romaguera-Okuneva,Travel,Small,True,Low,7,595115,Increase Website Traffic,SEO
Bechtelar and Sons,Education,Small,False,Low,72,136587,Expand Business,Social Media Marketing
Nienow LLC,Healthcare,Medium,True,High,12,678717,Generate Leads,SEO
Bailey LLC,IT Services,Large,False,Low,93,203022,Increase Website Traffic,Website Development
Stracke-Johnston,IT Services,Small,True,Medium,91,174937,Brand Awareness,Branding
Emmerich Group,Education,Medium,True,Medium,6,449361,Increase Website Traffic,SEO
Funk-Lowe,Finance,Small,False,Low,37,843933,Increase Customers,Website Development
Herman and Sons,Real Estate,Small,True,Low,11,366804,Improve Customer Experience,SEO
Kiehn-Prohaska,IT Services,Medium,False,High,2,181224,Increase Customers,Branding
VonRueden Group,E-commerce,Large,True,Low,60,501393,Increase Customers,Branding
Ankunding-McClure,Retail,Medium,True,Medium,100,18778,Launch Mobile App,App Development
Moen-Zemlak,Restaurant,Medium,True,Medium,20,799021,Increase Website Traffic,SEO
"Hackett, Schulist and Powlowski",Education,Small,False,Medium,8,545050,Expand Business,Website Development
Nader and Sons,Restaurant,Medium,True,Medium,3,156152,Launch Mobile App,App Development
"Bosco, Schinner and Cummings",Healthcare,Large,True,High,3,922341,Brand Awareness,SEO
"Dickinson, Oberbrunner and Thiel",Healthcare,Large,False,Medium,61,976127,Boost Sales,Website Development
Price-Vandervort,Real Estate,Medium,False,Medium,66,651014,Improve Online Presence,Website Development
"Reinger, Kunze and Larson",Retail,Medium,False,High,22,815327,Automate Operations,AI Automation
Schultz-Stiedemann,Education,Small,True,High,96,177172,Increase Customers,Branding
"Kulas, Schowalter and Littel",Finance,Medium,True,High,93,122234,Automate Operations,AI Automation
Abernathy and Sons,Real Estate,Medium,False,Low,70,322076,Increase Website Traffic,Website Development
